Quantity,Item,Price,Link
1,3mm ply,£14.00,https://www.wickes.co.uk/General-Purpose-Hardboard-Sheet---3-x-1220-x-2440mm/p/110107?utm_source=google&utm_medium=cpc&utm_campaign=PMAX%20Shopping%7C%7CMonthly%20Event&gad_source=1&gad_campaignid=18152672157&gbraid=0AAAAADs4IsZX_h4Y4OSh4pRqThBB8FP-D&gclid=Cj0KCQiAyvHLBhDlARIsAHxl6xrtAGPrDO7kqypEPpngJ-deGOPwEoY7i78gZZ7679NbXomqALs7uOUaAjXyEALw_wcB
1,M3 x 16,£3.92,https://www.diy.com/departments/m3-3mm-x-16mm-pack-of-50-din-7985-phillips-pan-head-machine-screws-zinc-plated-steel-g10c/5059629191649_BQ.prd?srsltid=AfmBOooLMidihrM-Gj-gujHq87m8SnJ9ohe5a9H_2Zz22TEdTLsrTcNBRsI
1,Epoxy Resin,£8.89,https://www.aliexpress.com/item/1005007181537246.html?spm=a2g0o.productlist.main.7.6c3b3941NkyY0l&algo_pvid=bee939c7-34ad-4d13-b703-63f9d6c362fe&algo_exp_id=bee939c7-34ad-4d13-b703-63f9d6c362fe-6&pdp_ext_f=%7B%22order%22%3A%221545%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%219.96%213.39%21%21%2192.42%2131.45%21%402103849717698166221641811e99e1%2112000039723421308%21sea%21UK%217051110693%21X%211%210%21n_tag%3A-29912%3Bd%3Acb95df14%3Bm03_new_user%3A-29895&curPageLogUid=oGG2NG7yxViP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007181537246%7C_p_origin_prod%3A
1,UV resin,£3.38,https://www.aliexpress.com/item/1005010129681976.html?spm=a2g0o.productlist.main.3.6c3b3941NkyY0l&algo_pvid=bee939c7-34ad-4d13-b703-63f9d6c362fe&algo_exp_id=bee939c7-34ad-4d13-b703-63f9d6c362fe-2&pdp_ext_f=%7B%22order%22%3A%221536%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%217.05%213.38%21%21%2165.41%2131.40%21%402103849717698166221641811e99e1%2112000051245896869%21sea%21UK%217051110693%21X%211%210%21n_tag%3A-29912%3Bd%3Acb95df14%3Bm03_new_user%3A-29895&curPageLogUid=sJlUeN8be741&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010129681976%7C_p_origin_prod%3A
1,Blue alcohol ink,£1.65,https://www.aliexpress.com/item/1005010161419364.html?spm=a2g0o.productlist.main.5.4b9f23df1cvMFU&algo_pvid=ad4285a8-ce23-4b4f-a40b-9aee8f065952&algo_exp_id=ad4285a8-ce23-4b4f-a40b-9aee8f065952-4&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%213.24%211.62%21%21%2130.04%2115.01%21%402103890917698167403554663ebdb1%2112000051363301517%21sea%21UK%217051110693%21X%211%210%21n_tag%3A-29912%3Bd%3Acb95df14%3Bm03_new_user%3A-29895&curPageLogUid=jZCACYvdY4mv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010161419364%7C_p_origin_prod%3A
